Date,News,Polarity
01 04 2011,Judgment on judges` extension case suspended,0
01 04 2011,Gilani hints at giving subsidy on oil prices,0
01 04 2011,Agencies averse to aerial survey by foreigners,0
01 04 2011,SC gives PPP leaders time to file reply in contempt case,0
01 04 2011,"Quake measuring 5.2 rattles Islamabad, Mansehra",0
01 04 2011,Pakistan ready to hand suspected militant to Indonesia,0
01 04 2011,PPP always respected judiciary: Sharjeel Memon,0
01 04 2011,Gilani to consult politicians on fuel price hike,0
01 04 2011,Land reforms vital for women empowerment,0
01 04 2011,Bone marrow recipients highlight consequences of poor donation culture,0
01 04 2011,Zab Media Festival: An educational discourse,0
01 04 2011,Pakistan’s Failure on SACOSAN Commitments,0
01 04 2011,Zardari signs reference to reopen case of Bhutto’s ‘judicial murder’,0
01 04 2011,So close – and yet so far,0
01 04 2011,Senate for probing suicide attacks on Fazl,0
01 04 2011,"Failed suicide attack kills child, wounds five in Darra Adam Khel",0
01 04 2011,Cafe Black: Dazed and confused,0
01 04 2011,Mangal Bagh’s convoy attacked in Tirah valley,0
01 04 2011,"Afridi and Waqar, take a bow",0
01 04 2011,"Taj Haider, Sharjeel Memon to submit replies by April 25",0
01 04 2011,"Davis case: Federal, Punjab govts given 10 days to recover heirs",0
01 04 2011,Petition in LHC challenges petrol price hike,0
01 04 2011,Three guards killed at Nato terminal in Khyber Agency,0
01 04 2011,Petrol price raised by 10 per cent,0
02 04 2011,Copters pound Lashkar bases after infighting,0
02 04 2011,Tax on middlemen in agriculture,0
02 04 2011,PPP Senators join opposition walkout,0
02 04 2011,"Pakistan, Britain to initiate strategic dialogue",0
02 04 2011,15 per cent surcharge applicable to all taxpayers,0
02 04 2011,Eleven troops injured in Bara convoy ambush,0
02 04 2011,Sindh govt announces holiday on April 4,0
02 04 2011,SC receives ZAB reference,0
02 04 2011,"1,757 Afghans voluntarily repatriated during March: UNHCR",0
02 04 2011,Five million children to be vaccinated in Sindh,0
02 04 2011,Two injured in attack on NATO container,0
02 04 2011,"Govt will not complete its term, claims Pagara",0
02 04 2011,Ten schoolchildren kidnapped in Kurram released,0
02 04 2011,Rare dinosaur footprints in Pakistan,0
02 04 2011,Militant groups clash in Khyber; four killed,0
02 04 2011,‘Diyat accepted without any pressure’,0
02 04 2011,Zardari signs plea to reopen Bhutto case,0
02 04 2011,Spy war dampens detente with India,0
02 04 2011,Gilani says ISI chief given one-year extension,0
03 04 2011,Sixth shrine hit,0
03 04 2011,Leaders find gaps in Benazir probe report,0
03 04 2011,Carnage at shrine near D.G. Khan,0
03 04 2011,BISP will keep encouraging women to set up business: Zardari,0
03 04 2011,Twin suicide attacks kill 41 at Dera Ghazi Khan shrine,0
03 04 2011,PM strongly condemns terrorist act in DG Khan,0
03 04 2011,Two men feeding on dead bodies arrested in Punjab,0
03 04 2011,Attack on Bhutto's anniversary foiled: CCPO Karachi,0
03 04 2011,Three more accused identified in Benazir murder case,0
03 04 2011,Shahbaz Sharif threatens long march against drone strikes,0
03 04 2011,Security forces’ counter attack kills 15 militants in North West,0
04 04 2011,Another diplomatic row with US brewing,0
04 04 2011,LHC allows ministry to go through Bhutto case record,0
04 04 2011,"Constitution recognises dysfunctional judges, SC told",0
04 04 2011,Militant leader to investigate attacks on Fazl,0
04 04 2011,House listing begins today amid reservations,0
04 04 2011,British security for David Cameron,0
04 04 2011,Hackers of SC website denied bail,0
04 04 2011,SC to take up ZAB ‘judicial murder’ reference on 13th,0
04 04 2011,British PM to visit Islamabad today,0
04 04 2011,Karachi traders stick to strike plan as KCCI ‘backtracks’,0
04 04 2011,Medical colleges professors asked to help call off doctors' strike,0
04 04 2011,Suicide bomber kills eight in Lower Dir,0
04 04 2011,Karachi transporters threaten to go on strike,0
04 04 2011,Zardari vows to rectify “historical wrong” in Bhutto decision,0
04 04 2011,In memoriam: Zulfikar Bhutto,0
04 04 2011,Captured bomber in Pakistan vows attacks,0
04 04 2011,Welcome to the greener side,0
04 04 2011,Death toll in shrine blast rises to 49,0
04 04 2011,Zardari-Singh Kashmir deal not cleared by Kayani: cables,0
04 04 2011,US pledges $500m for Bhasha dam,0
04 04 2011,Ambassador’s appointment abruptly withdrawn,0
05 04 2011,Inspection of cargo planes flying over Pakistan ‘not allowed’,0
05 04 2011,Wheat output may top 25m tons,0
05 04 2011,Trade talks with India to commence on April 27,0
05 04 2011,SC wants Reko Diq parties to settle issue,0
05 04 2011,Brawl mars traders’ strike in Karachi,0
05 04 2011,Govt to follow court directives on Musharraf’s extradition: Firdous,0
05 04 2011,"Altaf praises traders, businessmen for peaceful strike",0
05 04 2011,Thirty arrested in connection with extortion: Malik,0
05 04 2011,"Explosion in Khyber Agency kills five, injures eight",0
05 04 2011,Pakistan orders safety review of nuke plants,0
05 04 2011,We want a strong relationship with Pakistan: Cameron,0
05 04 2011,Bail plea accepted for Shahzad and Aziz in Benazir case,0
05 04 2011,Pakistan revamps Taliban fortress for skiing gala,0
05 04 2011,"BHU, schools destroyed in Mohmand Agency",0
05 04 2011,House count in Sindh begins today,0
06 04 2011,China willing to invest $15bn in energy sector,0
06 04 2011,Postings in foreign missions irk officials,0
06 04 2011,Flood-hit people complain of inadequate help,0
06 04 2011,Balochistan govt urges SC to decide Reko Diq case,0
06 04 2011,Extortionists still preying on Karachi traders,0
06 04 2011,Sindh CM sends fiery Mirza ‘on sick leave’,0
06 04 2011,"Zardari phones Nawaz Sharif, inquires about health",0
06 04 2011,Cameron visits Pakistan for a fresh start,0
06 04 2011,Students not to get affected by HEC devolution: Rabbani,0
06 04 2011,Sketch released of alleged mastermind of Sakhi Sarwar blasts,0
06 04 2011,An educational interview,0
06 04 2011,PAC concerned over money given to former British MP,0
06 04 2011,Draft of Pak-UK prisoner exchange agreement ready: Malik,0
06 04 2011,DG FIA Waseem Ahmed resigns from post,0
06 04 2011,Dr. Nabi Bux Baloch passes away,0
06 04 2011,Two Nato tankers torched in Bolan,0
06 04 2011,Four children killed playing with explosive in Kohat,0
06 04 2011,Why this blind spot?,0
06 04 2011,Two Nato tankers torched in Dhadhar,0
06 04 2011,"Cricket, not politics",0
06 04 2011,Young Doctors Association calls off strike in Islamabad,0
06 04 2011,Govt sticks to HEC devolution plan,0
06 04 2011,China corporation ready to invest in hydel power projects,0
07 04 2011,"IB inspector killed, 19 injured in Karachi",0
07 04 2011,Quetta DIG survives suicide attack,0
07 04 2011,‘Healthy’ Mirza continues to talk tough,0
07 04 2011,Pakistan and US in patch-up efforts,0
07 04 2011,Fifty militants killed in Mohmand Agency,0
07 04 2011,KESC warns of severe loadshedding,0
07 04 2011,End of spirituality and life after shrine blasts,0
07 04 2011,Five arrested in Wali Khan murder case,0
07 04 2011,Commission to probe deaths during doctors strike: Shahbaz,0
07 04 2011,"82,000 staff imparted training to conduct census 2011: Asif Bajwa",0
07 04 2011,Committee formed for recovery of missing persons,0
07 04 2011,To Japan with love,0
07 04 2011,Pakistan releases Indian prisoner after 23 years,0
07 04 2011,Colors of Pakistan,0
07 04 2011,Deteriorating healthcare,0
07 04 2011,US general holds Pakistan talks amid shaky ties,0
07 04 2011,Take a dirty picture for me,0
07 04 2011,"Suicide blast kills one, injures nine in Quetta",0
07 04 2011,Ambush on convoy injures seven troops in Bara,0
08 04 2011,"US, Pakistan seek new era in relations",0
08 04 2011,Gilani meets Nawaz in London,0
08 04 2011,Punjab CNG stations announce strike from 13th,0
08 04 2011,'Culture of impunity' in Pakistan: US report,0
08 04 2011,Thirty militants killed in Mohmand operation,0
08 04 2011,Government sacks 28 contractual employees,0
08 04 2011,Pakistan's inflation outlook disheartening: State Bank,0
08 04 2011,MQM was behind my removal from post: Mirza,0
08 04 2011,SC directs FIA to recover money from pilgrims,0
08 04 2011,Commission for Standard Higher Education to replace HEC,0
08 04 2011,Reach the skies,0
08 04 2011,Tough road to post-flood recovery in Pakistan,0
08 04 2011,Over 300 suicide bombers being trained in Waziristan,0
08 04 2011,Agha Siraj Durrani to become Home Minister Sindh,0
08 04 2011,Shoaib Akhtar: Man of a moment,0
08 04 2011,Malaysia nabs two Pakistanis with heroin worth $36M,0
08 04 2011,Dr. Baloch - An icon of achievement,0
08 04 2011,Pakistani troops kill 54 militants in Mohmand,0
08 04 2011,SHO critically injured in Peshawar blast,0
08 04 2011,TCC counsel tells SC BHP was ready to sell licence for $100,0
08 04 2011,VCs of 130 varsities seek reversal of decision on HEC,0
08 04 2011,FBR chief figures in scam report,0
09 04 2011,Economy has stabilised: Zardari,0
09 04 2011,The bomber who got a second life,0
09 04 2011,"PM Gilani meets Altaf, discusses national issues",0
09 04 2011,Pakistan intel operations frozen as ties remain strained,0
09 04 2011,Kazmi to participate in NA session: Fahmida Mirza,0
09 04 2011,MQM invites PPP leaders to its Punjab rally,0
09 04 2011,Finance ministry releases withheld grant for HEC,0
09 04 2011,Dissolution of HEC challenged in SC,0
09 04 2011,Artist Usman Ghouri passes away,0
09 04 2011,ATC urges speedy Musharraf arrest in BB murder case,0
09 04 2011,Govt appeals SC to review NAB Chairman’s appointment verdict,0
09 04 2011,“Sesame Street” coming to Pakistan: report,0
09 04 2011,Japan's nuclear radioactivity reaches Pakistan: Dr Zaidi,0
09 04 2011,Punjab’s share of water cut to meet Sindh need,0
10 04 2011,"Work stops on 1,300 projects as funds dry up",0
10 04 2011,Water crisis deepens as river flows decline,0
10 04 2011,Altaf spells out party priorities in address to Lahore rally,0
10 04 2011,"PM calls on president, discuss political situation",0
10 04 2011,Economy needs reliable supply of energy: Gilani,0
10 04 2011,"Tribesmen start migrating, four more killed in Tirah",0
10 04 2011,Mastermind of Sakhi Sarwar blasts arrested in Bajaur,0
10 04 2011,Portrait of a land unseen,0
10 04 2011,Security forces kill seven militants in Swat,0
10 04 2011,Pakistan export boom will not repair economy,0
10 04 2011,"Gas cylinder blast kills one, injures two in Lahore",0
10 04 2011,US-Pakistan intelligence operations frozen: official,0
10 04 2011,Swat Taliban used grievances: WB,0
10 04 2011,"SC judgment suffers from errors, claims govt",0
10 04 2011,CJ asks officials not to follow ` illegal orders`,0
11 04 2011,Pak military asks US to cut number of CIA operatives,0
11 04 2011,"Opposition leader lashes out at govt, agencies",0
11 04 2011,LHC to hear case calling for Musharraf's removal from records,0
11 04 2011,Pak-Iran gas pipeline to be functional by 2015: Qamar,0
11 04 2011,"PSO refuses to provide oil, KESC warns severe load shedding",0
11 04 2011,What possibly could go wrong now in Swat?,0
11 04 2011,FIA presents challan against Moonis Elahi,0
11 04 2011,39 Pakistani prisoners come back home,0
11 04 2011,Pakistan to release 89 Indian prisoners on Thursday,0
