,Date,SBP Press Release
0,2001-02-01 00:00:00+00:00," 

External Relations Department

 

 

ERD/M&PRD/PR/01/2019-73 September 13, 2019

Press Release on Workers’ Remittance

Overseas Pakistani workers remitted US$ 1,690.9 million in the August 2019 as compared with US$
2039.3 million received during July 2019. This showed a decline of US$ of 348.4 million on month-
on-month basis, reflecting the usual one-off post Eid-ul-Azha effect. On cumulative basis, workers’
remittances stood at US$ 3,730.2 million during Jul-Aug FY20 compared with 4,071.1 million

recorded in the same period last year.

The country wise details for the month of August 2019 show that inflows from Saudi Arabia, UAE,
USA, UK, GCC countries (including Bahrain, Kuwait, Qatar and Oman) and EU countries amounted to
US$ 377.58 million, US$ 348.51 million, US$ 297.41 million, US$ 250.20 million, US$ 158.60 million
and US$ 58.14 million respectively compared with the inflow of US$ 465.53 million, US$ 473.11
million, US$ 330.40 million, US$ 294.90 million, US$ 193.17 million and US$ 59.69 million
respectively in August 2018. Remittances received from Malaysia Norway, Switzerland, Australia,
Canada, Japan and other countries during August 2019 amounted to US$ 200.42 million together as
against US$ 272.62 million received in August 2018.

28 8 2k OK OK

Page 1
"
1,2001-02-01 00:00:00+00:00," 

External Relations Department

 

 

ERD/M&PRD/PR/01/2016-54 June 13, 2016

State Bank issues regulations for payment card security

To promote modern and robust payment systems through enhancing security of payment
cards and safeguard the interests of consumers, State Bank of Pakistan has issued
Regulations for Payment Card Security under Payment Systems and Electronic Fund Transfers
Act, 2007.

These Regulations outline minimum set of operational, administrative, technical and physical
safeguards to secure Payment Card operations of the Financial Institutions (Fls) and Payment
Systems Operators (PSOs) & Payment Service Providers (PSOs) in Pakistan and are based on
international best practices and standards.

According to these regulations, Card Service Providers shall develop and implement a
comprehensive Card Security Framework by taking into consideration various types of risks
associated with the Payment Cards, their usage patterns and the cardholder profile. The
regulations also mandate the adoption of Europay MasterCard Visa (EMV) standard in
Pakistan thus bringing the country at par with other developed nations who have adopted
this international standard.

These regulations have been issued to facilitate the Card Service Providers to develop a Card
Security Framework while aligning their information security objectives with SBP’s strategic
objectives.

It may be noted that the stability of financial system is derived from the safety,
competitiveness and efficiency of the payment channels and corresponding instruments. The
use of electronic means of transactions has facilitated the masses in affecting transactions
instantly. With the increased growth in Payment Card transactions, its security has gained
importance due to rising threats and vulnerabilities associated with it. Therefore, SBP has
focused on enhancing the security and safety of all payment channels in the country.

SR RK

Page 1
"
2,2001-02-01 00:00:00+00:00," 

External Relations Department

 

 

ERD/M&PRD/PR/01/2016-115 December 2, 2016

RCG Asia meeting--Governor SBP for effective
implementation of Macroprudential Policy Framework

Governor State Bank of Pakistan(SBP) Mr. Ashraf Mahmood Wathra emphasized on the need for
implementing the macroprudential policy framework in line with international best practices to limit
systemic risk facing the financial system during the meeting of Financial Stability Board (FSB) Regional
Consultative Group Asia (RCG Asia). Governor Wathra, while sharing his views on macroprudential
policy(MPP) and tools, highlighted that the MPP needs to be complemented by appropriate
monetary, fiscal and other financial sector policies.

Governor, Wathra was co-chairing the 11 meeting of FSB RCG-Asia alongside Mr. Norman T.L. Chan
Chief Executive of Hong Kong Monetary Authority. The meeting was held in Hong Kong SAR today on
December 2, 2016. In July 2015, Governor Wathra was appointed as the co-chair of FSB-RCG Asia
along with Mr. Norman T.L. Chan for a two-year term. The co-chairs are responsible for hosting RCG
Asia meetings, conducting workshops, coordinating with the FSB Secretariat, and attending FSB
Plenary meetings.

FSB has been established to coordinate, at the international level, the work of national financial
authorities and international standard setting bodies and to develop and promote the
implementation of effective regulatory, supervisory and other financial sector policies in the interest
of financial stability. In addition to its own member countries, FSB, through six regional consultative
groups (RCGs), conducts outreach with around 65 other non-FSB member jurisdictions. Formed in
2011, the RCG Asia includes central banks and financial authorities of 16 jurisdictions including
Australia, Cambodia, China, Hong Kong SAR, India, Indonesia, Japan, Korea, Malaysia, New Zealand,
Pakistan, Philippines, Singapore, Sri Lanka, Thailand and Vietnam.

The meeting also discussed vulnerabilities and financial stability issues covering high levels of US
dollar denominated private sector debt levels, movement in exchange rates and changes in US
monetary policy stance, and their potential implications for the region.

During the session on managing non-performing loans (NPLs), members shared their experiences how
financial institutions in Asia are identifying, measuring, monitoring and controlling NPLs, and what
legal, regulatory or other hurdles impede their resolution. As part of this discussion, Mr. Jameel
Ahmed, Executive Director Banking Supervision Group, SBP briefed the participants on the Basel
Committee’s consultative document “Prudential treatment of problem assets - definitions of non-
performing exposures and forbearance”, in addition to sharing Pakistan’s experience in managing
problem loans.

The meeting also considered the impact of financial technology on retail payments systems, where
members discussed how the proliferation of fintech is improving accessibility and convenience in
retail payments, while highlighting increases in credit and operational risk. The members
contemplated appropriate regulatory approaches to foster sound and secure retail payment systems
while striking a balance between financial inclusion, customer convenience and financial stability.

Page 1
"
3,2002-02-01 00:00:00+00:00," 

External Relations Department

 

 

ERD/M&PRD/PR/01/2020-16 February 12, 2020

Press Release on Workers’ Remittances

 

1. The remittances during January, FY20 (US $ 1,907.3 million) shows an increase of US $
163.2 million or 9.3 percent growth over remittance received during corresponding
month of FY19 (US $ 1,744.1 million),

2. On cumulative basis, the workers' remittances received during Jul-Jan FY20 amounted
to US $ 13,302.2 million recording an increase of US $ 528.1 million or 4.1 percent over
remittances received during Jul-Jan FY19 (US $ 12,774.1 million),

3. During January 2020, larger amounts of Workers' Remittances received from Saudi
Arabia, UAE, USA and UK with US $ 433.4 million, US $ 395.5 million, US $ 335.1 million
and US $ 299.1 million recorded a decline of 8.4 percent, 7.5 percent, 6.3 percent and
7.9 percent respectively as compared to December 19.

oR KK KK

Page 1
"
4,2012-01-06 00:00:00+00:00,"(201764310
eta Oeu 11 Lure be bya folate £ TILL

eas Su Tae FDL Pict 10946.38 tC st buz duel dL IML urbe lure
2 ez ner Nigh 11154.72 Ut

LAS LL BL 12016 652d td OL 20165 IR PASM 1487. Teh Girt AS UH slr L +2017 682
oct FIP VIEL IV nls Gh Lp We fae f or Se es, 2 HG 2017652 BAe oh ind
AS 186.41 Ad 180.91 AS 175.01 <A} e323.11 Ase 434.15 AL UAL ety dale Bcc
ASA VCB94 AS31440 A 463.44 221 eB Srl Tee Ub t-2016 GRE ZI MN t31.69
Srl Te UAL nib deh HT tdyFrce at SlrL 62017 G2 LEM 31.94 wi AS ut 192.105 ott 174.48

£2 ner Nj 121.08 = Uihyit-2016 Ket 3156.44 LP SP NMeF

wwe
"
5,2001-02-01 00:00:00+00:00," 

External Relations Department

 

 

ERD/M&PRD/PR/01/2019-102 December28, 2019

SBP Abolished the Fee on Payment of Government Taxes through ADCs and OTC

The State Bank of Pakistan (SBP) has announced to abolish the fee on payment of government taxes
and duties through Alternate Delivery Channels (ADCs) and Over-the-Counter (OTC) from January 1,
2020. Presently, the taxpayers pay Rs.10 to Rs.50 per transaction for payment of taxes through ADCs
depending on the amount of tax paid, and Rs.50 per transaction for the payments through OTC. This
fee will be borne by SBP instead of taxpayers from January 1, 2020. The change has been notified
through SBP FD Circular No.4 of 2019 dated December 27, 2019.

The decision is part of SBP efforts to promote digital payments and is likely to attract larger number
of taxpayers towards digital payment of government taxes and duties. The mechanism for online
collection of taxes and duties was introduced in March 2018 in collaboration with Federal Board of
revenue (FBR) with the primary objective of taxpayers’ facilitation. The tax payers can pay their taxes
from the convenience of their homes or offices using internet/mobile banking facilities, through
14000 plus ATMs or any of the 15000 plus branches of commercial banks across the country. So far
Rs.346 billion has been collected through this mechanism. The collections through the ADCs/OTC
modes are likely to grow exponentially as the awareness about the mechanism improves.

SBP is also running an awareness campaign to familiarize the taxpayers, tax bar associations,
chambers of commerce, clearing and forwarding agents and business community at large about the
ADC and OTC payment mechanisms. Seminars and awareness sessions are being arranged across the
country through the field offices of SBP Banking Services Corporation. The first such seminar was held
in Karachi on December 26, 2019, which was attended by corporate taxpayers, representatives from
chamber of commerce, trade associations, commercial banks, tax bars and audit firms. The
participants appreciated SBP efforts for promotion of digital payments and said that such sessions are
critically important for enhancing public awareness and allaying their fears and apprehensions about
digital payments.

aR a a a Hk Heo a ok ak ak aK HE

Page 1
"
6,2001-02-01 00:00:00+00:00," 

 

ERD/M&PRD/PR/01/2016-98 October 8, 2016

 

Influential Euromoney confers award of Central Bank Governor of the year 2016 to Governor
State Bank Mr. Ashraf Mahmood Wathra

 

Governor State Bank of Pakistan Mr. Ashraf Mahmood joined the prestigious club of distinguished
central bankers as he was named Euromoney’s Central Bank Governor of the Year 2016 at a reception
at the Press Club in Washington DC on October 7, 2016 on the sidelines of annual IMF/World Bank
meetings.

Governor Mr. Ashraf Mahmood Wathra who rose to the position of Governor on April 29, 2014 carries
more than 35 years of extensive experience of commercial, corporate and investment banking
experience to his assignment.

“Since Wathra become Governor of the SBP in 2014, Pakistan has been one of the best performing
countries in the Euromoney Country Risk rankings, a sovereign rating service that asks independent
economists and analysts to measure risk factors, with sharp improvements in its overall, economic and
political scores,” says the Euromoney press release issued on this occasion.

Speaking at the ceremony the Governor remarked, “It is indeed a moment of pride for me as well as for
Pakistan that I have been awarded the central bank Governor of the year 2016. In fact, this is
recognition of all the teamwork that has lead to the successful reemergence of Pakistan as a safe and
stable country with a promising future. Here, I would specifically mention my colleagues at SBP
without whose support I would not have been able to deliver what I am being appreciated for. I am sure
that the appreciation of Euromoney will further boost the confidence of international investors.”

Besides extolling the significant role played by Mr. Wathra for financial inclusion in Pakistan, the
influential Euromoney magazine in its press release also acknowledged the role of Mr. Wathra for
bringing stability to Pakistan’s currency; successfully completing an IMF program; helping to improve
country’s economy from a period of stabilisation to an era of potential growth; bringing significant
changes to governance; reducing direct government financing from the central bank; boosting the
country’s capital markets; and bringing confidence about Pakistan’s future both domestically and
internationally.

 

 

Page 1
"
7,2014-01-29 00:00:00+00:00,"January 29, 2014

SBP revises Prudential Requlations for agriculture financing

With a view to enhance access of formal financing to the farming community and to bring
regulatory framework for farmers’ financing in line with the changing business environment,
State Bank of Pakistan (SBP) has issued revised Prudential Regulations (PRs) for Agriculture
Financing.

The revised instructions call upon banks to develop robust and market-oriented policies and
practices to promote enhanced flow of credit to the agriculture sector without compromising
financial stability and banks’ risk management.

The revised regulations, among other areas, make it mandatory for banks to formulate
comprehensive agri. financing policies covering broad areas of strategic importance including
loan administration, disbursement & monitoring mechanisms, set-up and maintenance of
dedicated agri. finance departments equipped with qualified agri. financing experts and
delegation of powers relating to loan approval or sanction at appropriate level. Further, to
strengthen credit discipline and prudent lending practices by minimizing information
asymmetries, CIB report for all agri. loans has been mandatory. To facilitate farming community
in repayment of crop production loans under Revolving Credit Scheme on the basis of their
cropping cycle, banks are now required to segregate the repayment in two stages of at least
50% of the utilized credit during the year after harvest of each rabi and kharif crop.

PRs also cover Islamic Agriculture financing which will encourage banks to develop and launch
products to meet the financing needs of the farming community under Shariah Compliant
modes.

Revisions in these regulations have been made in consultations with stakeholders and
encompass prudent practices for banks financing various activities within agri. value chain and
come into force with immediate effect.
"
8,1950-05-11 00:00:00+00:00," 

External Relations Department

 

ERD/M&PRD/PR/2020-50 May 11, 2020

Announcement of Monetary Policy Statement

As per its regular schedule, the Monetary Policy Committee of SBP will meet on Friday, May 15, 2020
at SBP Karachi to decide about Monetary Policy.

SK

Page 1
"
9,2020-01-01 00:00:00+00:00,"£2020,-° 104

SHG Bot are a AKG rt Csi Gre di tor fede We Lape

BF LF Use SF ih le BASEL Ged L Ge bk Burl pt bie Ter
SP tb Ae HALL nis ae LS FL Gti F ot Hb ble?
Vorb ttl L Luss PIL ber tel

SB Beet SUA ee Fle RSL Bree trl Asi £ fe HP a re
el LU? La iF Lapis e Lust bet ipo Mieayee Libr feds bh
AUSF Less

rede SLA AIM LE UBS a Ser lithe ECB eh Bett te hoe Je
DEGSUE Fi atel vf (persons with disabilities) 1A ee Se fe AML wie
BEF AI Ae Le ter wh Sof a UT Bens eI L Sn Fe Be Ue
Luv Eb sain Sie Lsisiedce Peo tb Ate boy thle fel Sere
Sunstein tue deapl Gone Fuczbes Stalin Gi ee Soni
Led WWE pf ure Let SLi S to Sb oth Ue BES ek
tive

Suez Py best zie Ls AVP Le ed Ged
Serpeuiurbe ne Ale Lelsseis Hide teeeruter fidesiusicl
Sil Lr J Lehi Fonseca esd ke Ludi Sute ef Geers
cur tith?

pe Scide Gel bop eSereus ters Gis AGE r Loko fie
a LL AF HOI 2 & SW Ur ee AIL ACE SUL Cod Let
Seo tie est bule Peps Le}
"
