,date,news
0,2011-04-01,Judgment on judges` extension case suspended
1,2011-04-01,Gilani hints at giving subsidy on oil prices
2,2011-04-01,Agencies averse to aerial survey by foreigners
3,2011-04-01,SC gives PPP leaders time to file reply in contempt case
4,2011-04-01,"Quake measuring 5.2 rattles Islamabad, Mansehra"
5,2011-04-01,Pakistan ready to hand suspected militant to Indonesia
6,2011-04-01,PPP always respected judiciary: Sharjeel Memon
7,2011-04-01,Gilani to consult politicians on fuel price hike
8,2011-04-01,Land reforms vital for women empowerment
9,2011-04-01,Bone marrow recipients highlight consequences of poor donation culture
10,2011-04-01,Zab Media Festival: An educational discourse
11,2011-04-01,Pakistan’s Failure on SACOSAN Commitments
12,2011-04-01,Zardari signs reference to reopen case of Bhutto’s ‘judicial murder’
13,2011-04-01,So close – and yet so far
14,2011-04-01,Senate for probing suicide attacks on Fazl
15,2011-04-01,"Failed suicide attack kills child, wounds five in Darra Adam Khel"
16,2011-04-01,Cafe Black: Dazed and confused
17,2011-04-01,Mangal Bagh’s convoy attacked in Tirah valley
18,2011-04-01,"Afridi and Waqar, take a bow"
19,2011-04-01,"Taj Haider, Sharjeel Memon to submit replies by April 25"
20,2011-04-01,"Davis case: Federal, Punjab govts given 10 days to recover heirs"
21,2011-04-01,Petition in LHC challenges petrol price hike
22,2011-04-01,Three guards killed at Nato terminal in Khyber Agency
23,2011-04-01,Petrol price raised by 10 per cent
24,2011-04-01,RED ZONE FILES: War & Peace: Latest trends in Pakistani politics
25,2011-04-01,Morgan Stanley Capital International raises Pakistan weight to 0.023pc in EM index
26,2011-04-01,Pakistan cricket squad returns home
27,2011-04-02,Copters pound Lashkar bases after infighting
28,2011-04-02,Tax on middlemen in agriculture
29,2011-04-02,PPP Senators join opposition walkout
30,2011-04-02,"Pakistan, Britain to initiate strategic dialogue"
31,2011-04-02,15 per cent surcharge applicable to all taxpayers
32,2011-04-02,Eleven troops injured in Bara convoy ambush
33,2011-04-02,Sindh govt announces holiday on April 4
34,2011-04-02,SC receives ZAB reference
35,2011-04-02,"1,757 Afghans voluntarily repatriated during March: UNHCR"
36,2011-04-02,Five million children to be vaccinated in Sindh
37,2011-04-02,Two injured in attack on NATO container
38,2011-04-02,"Govt will not complete its term, claims Pagara"
39,2011-04-02,Ten schoolchildren kidnapped in Kurram released
40,2011-04-02,Rare dinosaur footprints in Pakistan
41,2011-04-02,Militant groups clash in Khyber; four killed
42,2011-04-02,‘Diyat accepted without any pressure’
43,2011-04-02,Zardari signs plea to reopen Bhutto case
44,2011-04-02,Spy war dampens detente with India
45,2011-04-02,Gilani says ISI chief given one-year extension
46,2011-04-02,RED ZONE FILES: War & Peace: Latest trends in Pakistani politics
47,2011-04-02,Morgan Stanley Capital International raises Pakistan weight to 0.023pc in EM index
48,2011-04-02,Pakistan cricket squad returns home
49,2011-04-03,Sixth shrine hit
50,2011-04-03,Leaders find gaps in Benazir probe report
51,2011-04-03,Carnage at shrine near D.G. Khan
52,2011-04-03,BISP will keep encouraging women to set up business: Zardari
53,2011-04-03,Twin suicide attacks kill 41 at Dera Ghazi Khan shrine
